area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter
643.0,0.2204699151863289,109.72783825816485,424.47278382581646,3.0,dilution,0.0,0.0,wt
789.0,0.1922448538104808,111.02027883396704,400.24081115335866,3.0,dilution,0.0,0.0,wt
425.0,0.27954392449430177,107.71529411764706,412.8305882352941,3.0,dilution,0.0,0.0,wt
404.0,0.2946509869768403,107.55445544554455,409.9282178217822,3.0,dilution,0.0,0.0,wt
476.0,0.28320187899317506,109.05252100840336,406.3613445378151,3.0,dilution,0.0,0.0,wt
553.0,0.2501318717042104,110.83182640144665,393.0433996383363,3.0,dilution,0.0,0.0,wt
453.0,0.3129604601010786,107.88300220750551,384.5165562913907,3.0,dilution,0.0,0.0,wt
483.0,0.3006016876573806,108.65010351966873,388.0703933747412,3.0,dilution,0.0,0.0,wt
460.0,0.24684237087793914,110.98260869565217,405.9304347826087,3.0,dilution,0.0,0.0,wt
521.0,0.24604027363970268,110.01343570057581,405.48752399232245,3.0,dilution,0.0,0.0,wt
555.0,0.2217496999077638,108.02882882882884,400.4306306306306,3.0,dilution,0.0,0.0,wt
428.0,0.33021689943996757,111.1355140186916,402.6238317757009,3.0,dilution,0.0,0.0,wt
440.0,0.33896166079989337,111.13409090909092,404.22727272727275,3.0,dilution,0.0,0.0,wt
310.0,0.2527063057257657,108.86451612903225,362.8741935483871,3.0,dilution,0.0,0.0,wt
500.0,0.22601988794130584,109.57,382.87,3.0,dilution,0.0,0.0,wt
440.0,0.1909555431264972,108.56818181818181,365.0,3.0,dilution,0.0,0.0,wt
312.0,0.2545491882924649,109.82051282051282,376.2307692307692,3.0,dilution,0.0,0.0,wt
402.0,0.2933667368801108,109.04477611940298,380.44776119402985,3.0,dilution,0.0,0.0,wt
634.0,0.2535043816963663,108.01892744479495,354.27602523659306,3.0,dilution,0.0,0.0,wt
520.0,0.26860149829413715,109.13653846153846,367.57307692307694,3.0,dilution,0.0,0.0,wt
322.0,0.26240058895025314,109.36645962732919,362.31366459627327,3.0,dilution,0.0,0.0,wt
434.0,0.22380278798280798,110.07373271889401,392.36866359447004,3.0,dilution,0.0,0.0,wt
368.0,0.318083907652268,111.27445652173913,395.4266304347826,3.0,dilution,0.0,0.0,wt
320.0,0.33257491393857325,108.359375,369.115625,3.0,dilution,0.0,0.0,wt
322.0,0.3143912408938192,110.53726708074534,410.79813664596276,3.0,dilution,0.0,0.0,wt
321.0,0.2947137160077304,108.5607476635514,387.7819314641745,3.0,dilution,0.0,0.0,wt
551.0,0.22943347260802996,109.15970961887477,398.3157894736842,3.0,dilution,0.0,0.0,wt
432.0,0.29916672889556,107.76157407407408,392.7291666666667,3.0,dilution,0.0,0.0,wt
432.0,0.26999499150598943,108.04166666666667,422.19444444444446,3.0,dilution,0.0,0.0,wt
898.0,0.23360841569611876,107.15144766146993,363.173719376392,3.0,dilution,0.0,0.0,wt
880.0,0.24444696691594275,108.82727272727273,358.1068181818182,3.0,dilution,0.0,0.0,wt
492.0,0.2786362749473348,108.16869918699187,447.4918699186992,3.0,dilution,0.0,0.0,wt
623.0,0.23025819048813775,107.82343499197432,451.3338683788122,3.0,dilution,0.0,0.0,wt
518.0,0.23406495241014902,108.52316602316603,384.9903474903475,3.0,dilution,0.0,0.0,wt
276.0,0.23796401143036677,108.1413043478261,400.8876811594203,3.0,dilution,0.0,0.0,wt
893.0,0.1875777358733714,112.97872340425532,424.0481522956327,2.0,dilution,0.0,0.0,wt
772.0,0.19448280257236158,109.99481865284974,436.90284974093265,2.0,dilution,0.0,0.0,wt
728.0,0.21629361479387435,112.05082417582418,484.49175824175825,2.0,dilution,0.0,0.0,wt
699.0,0.2396355463436572,110.92703862660944,388.1230329041488,2.0,dilution,0.0,0.0,wt
694.0,0.20618675868940856,108.76080691642652,420.178674351585,2.0,dilution,0.0,0.0,wt
578.0,0.2613833324462164,108.48615916955018,479.5882352941176,2.0,dilution,0.0,0.0,wt
709.0,0.1730518212914723,108.85472496473906,386.2242595204513,2.0,dilution,0.0,0.0,wt
